,column_name,coefficient
0,Intercept,0.0
1,STFIPS_AK,0.0
2,STFIPS_AL,-0.012578648684467012
3,STFIPS_AR,0.0
4,STFIPS_AZ,-0.22986392966331276
5,STFIPS_CA,0.1034341565440604
6,STFIPS_CO,0.0
7,STFIPS_CT,-0.04732545651421575
8,STFIPS_DC,-0.008435670563991913
9,STFIPS_DE,0.02823051969063732
10,STFIPS_GA,-0.03299288577652705
11,STFIPS_HI,0.0
12,STFIPS_IA,0.0
13,STFIPS_ID,0.0
14,STFIPS_IL,-0.2452453526478742
15,STFIPS_IN,0.0
16,STFIPS_KS,0.0
17,STFIPS_KY,-0.016657899512098832
18,STFIPS_LA,-0.03497327748547856
19,STFIPS_MA,-0.04367653297928534
20,STFIPS_MD,-0.011889954159945478
21,STFIPS_ME,0.0949859698129777
22,STFIPS_MI,0.14034981602783425
23,STFIPS_MN,0.10893952686897408
24,STFIPS_MO,-0.08321393392671868
25,STFIPS_MS,-0.033519418354603654
26,STFIPS_MT,0.0
27,STFIPS_NC,-0.2651751780252811
28,STFIPS_ND,0.0
29,STFIPS_NE,0.0
30,STFIPS_NH,0.0
31,STFIPS_NJ,0.36358169410765595
32,STFIPS_NM,0.03353696631061717
33,STFIPS_NV,0.0
34,STFIPS_OH,0.0
35,STFIPS_OK,-0.14108851404022393
36,STFIPS_PA,0.0
37,STFIPS_PR,-0.027786528238914605
38,STFIPS_RI,0.019394160499326664
39,STFIPS_SC,0.0
40,STFIPS_SD,0.0
41,STFIPS_TN,-0.1031110272951477
42,STFIPS_TX,0.0
43,STFIPS_UT,0.0
44,STFIPS_VA,-0.2705159065539056
45,STFIPS_VT,0.052874720001040716
46,STFIPS_WI,-0.025117290334032746
47,STFIPS_WY,-0.019944694344624495
48,EDUC_1To3yCollege,0.0
49,EDUC_4yCollegePlus,0.0
50,EDUC_Grade8OrLess,0.0
51,EDUC_Grade9To11,0.0
52,EDUC_Unknown,0.0
53,MARSTAT_DivorcedOrWidowed,0.0
54,MARSTAT_NowMarried,0.0
55,MARSTAT_Separated,0.0
56,MARSTAT_Unknown,0.0
57,SERVICES_AmbulatoryDetox,-0.025036320717394107
58,SERVICES_AmbulatoryIntensiveOutpatient,-0.47783698112163026
59,SERVICES_Detox24hFreeStandingRes,-0.8030237213219523
60,SERVICES_Detox24hHospitalInpatient,-0.3763663489318875
61,SERVICES_RehabResHospitalNonDetox,-0.011679479109838983
62,SERVICES_RehabResLongTerm,-0.3347552005623967
63,SERVICES_RehabResShortTerm,-0.511860820428502
64,DETCRIM_Adjudication,0.0
65,DETCRIM_Court,0.0
66,DETCRIM_DUI,0.0
67,DETCRIM_DiversionaryProgram,-0.01062851124246846
68,DETCRIM_Other,-0.0690280948270639
69,DETCRIM_OtherLegalEntity,0.036375340709102554
70,DETCRIM_Prison,0.0
71,DETCRIM_ProbationOrParole,-0.011334698148745811
72,NOPRIOR_1PriorTreatments,0.0
73,NOPRIOR_2PriorTreatments,0.0
74,NOPRIOR_3PriorTreatments,0.0
75,NOPRIOR_4PriorTreatments,0.0
76,NOPRIOR_5PlusPriorTreatments,0.02265567724626468
77,NOPRIOR_Unknown,-0.29031154104295964
78,PSOURCE_CourtReferral,-0.393104762590516
79,PSOURCE_DrugCareProvider,0.0
80,PSOURCE_Employer,0.0
81,PSOURCE_OtherHealthCareProvider,-0.014940144586094443
82,PSOURCE_OtherReferral,-0.1374562132333777
83,PSOURCE_School,0.0
84,PSOURCE_Unknown,-0.010153371341468416
85,ARRESTS_1Arrest,0.0
86,ARRESTS_2PlusArrest,0.0
87,ARRESTS_Unknown,-0.06642886499823643
88,PSYPROB_Unknown,0.0
89,PSYPROB_Yes,0.035482710468029574
90,PREG_NotPregnant,0.0
91,PREG_Pregnant,0.01620118451163168
92,GENDER_Female,0.0
93,GENDER_Unknown,0.0
94,VET_Unknown,0.0
95,VET_Veteran,0.0
96,LIVARAG_DependLiving,-0.03396767273507007
97,LIVARAG_Homeless,0.0
98,LIVARAG_Unknown,0.0
99,DAYWAIT_15To30DaysWait,0.0
100,DAYWAIT_1To7DaysWait,0.0
101,DAYWAIT_31PlusDaysWait,0.0
102,DAYWAIT_8To14DaysWait,0.0
103,DAYWAIT_Unknown,0.010371239914660308
104,DSMCRIT_ADDOrBehaviorDisorder,0.0
105,DSMCRIT_AlcoholAbuse,0.0
106,DSMCRIT_AlcoholDependence,-0.004790427937169343
107,DSMCRIT_AlcoholDisorder,0.0
108,DSMCRIT_AlcoholIntoxication,0.0
109,DSMCRIT_AnxietyDisorder,0.0
110,DSMCRIT_BipolarDisorder,0.0
